Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
31,R056,P.S. 56 - STATEN ISLAND,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,7/7/2023,1/6/2025,,9477000,8511464.0,3610271.0,"DSF0001027476, DSF0001027477, DSF0001027478"
31,R056,P.S. 56 - STATEN ISLAND,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,7/7/2023,1/6/2025,,589679,403705.0,389477.0,"DSF0001027476, DSF0001027477, DSF0001027478"
31,R056,P.S. 56 - STATEN ISLAND,SCA Furniture & Equipment,FY23 RESO A MOBILE STEM CARTS,F&E,PNS,PNS,PNS,PNS,350000,350000.0,0.0,DSF0001036141
31,R056,P.S. 56 - STATEN ISLAND,Fast Track Projects,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,200000.0,0.0,DSF0001086647
31,R056,P.S. 56 - STATEN ISLAND,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,12/19/2022,IPDV,3/9/2023,DIIS,50000.0,35642.0,DSF0001034848
31,R056,P.S. 56 - STATEN ISLAND,DIIT - RESOA,FY09 RESO A SECURITY CAMERA,Purch & Install,PNS,PNS,PNS,PNS,DIIR,154077.0,0.0,DSF0000623174
31,R056,P.S. 56 - STATEN ISLAND,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,250000.0,0.0,DSF0000961468
31,R056,P.S. 56 - STATEN ISLAND,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,12/7/2023,DIIR,,DIIR,225000.0,0.0,DSF0001033338
31,R056,P.S. 56 - STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,200000.0,0.0,DSF0001086648
31,R056,P.S. 56 - STATEN ISLAND,DOE - RESOA,FY19 RESO A SCIENCE LAB UPGRADES,Construction,In-Progress,12/16/2019,DOER,,DOER,65784.0,0.0,DSF0000890712
31,R056,P.S. 56 - STATEN ISLAND,DOE - RESOA,RESO A ROOM CONVERSION,Construction,In-Progress,7/9/2021,DOER,,DOER,56090.0,0.0,DSF0000960890
31,R056,P.S. 56 - STATEN ISLAND,DOE - RESOA,RESO A GREENROOF,Construction,PNS,PNS,PNS,PNS,DOER,50000.0,0.0,DSF0001083768
31,R056,P.S. 56 - STATEN ISLAND,DOE - RESOA,RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,99072.0,0.0,DSF0001111871
31,R056,P.S. 56 - STATEN ISLAND,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,12/21/2023,DOES,1/5/2024,DOES,50832.0,,DSF0001084456
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,2/11/2022,6/28/2022,10/17/2022,142100,164681.0,161049.0,"DSF0001034390, DSF0001078236"
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,11/4/2022,4/26/2023,5/10/2023,710500,525201.0,444397.0,"DSF0001034390, DSF0001078236"
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,7/10/2023,7/8/2025,,15986250,14499041.0,736274.0,"DSF0001034390, DSF0001078236"
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,7/10/2023,7/8/2025,,995437,349736.0,347334.0,"DSF0001034390, DSF0001078236"
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Scope,Complete,7/29/2021,10/28/2021,6/29/2022,0,20770.0,20770.0,DSF0000961451
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Design,Complete,6/29/2022,12/13/2022,11/22/2022,76804,83664.0,82018.0,DSF0000961451
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,Complete,5/31/2023,4/24/2024,4/24/2024,1126464,1095817.0,698195.0,DSF0000961451
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,"CM,F&E",Complete,5/31/2023,4/24/2024,4/24/2024,76804,100261.0,82417.0,DSF0000961451
31,R057,P.S. 57 - STATEN ISLAND,SCA IEH,PO18-ASSIST STEAMFITTERS : PLEASE OPEN WALL AND CEILING IN BATHROOM 212D. PLASTER WALL AND CEILING I,Construction,Complete,12/11/2023,IEH,1/15/2024,IEH,23843.0,15061.0,SCA0000072547
31,R057,P.S. 57 - STATEN ISLAND,SCA IEH,PO18-ASSIST STEAMFITTERS: PLEASE REMOVE 24' LONG CURB AT RADIATOR BASE 6' TALL AND 4' WIDE SPRAYED R,Construction,Complete,2/22/2024,IEH,2/25/2024,IEH,17103.0,11703.0,SCA0000072760
31,R057,P.S. 57 - STATEN ISLAND,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/8/2024,DIIR,,DIIR,60000.0,60000.0,DSF0001033998
31,R057,P.S. 57 - STATEN ISLAND,DOE - RESOA,FY19 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,11/7/2023,DOER,,DOER,306034.0,0.0,DSF0000890713
31,R057,P.S. 57 - STATEN ISLAND,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,5/21/2022,DOER,,DOER,153693.0,0.0,DSF0001008842
31,R057,P.S. 57 - STATEN ISLAND,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,5/20/2024,DOES,5/24/2024,DOES,65832.0,189.0,DSF0001084457
31,R058,P.S. 58 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Scope,Complete,7/29/2021,10/28/2021,3/4/2022,0,32545.0,32545.0,DSF0000961453
31,R058,P.S. 58 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Design,Complete,8/9/2022,12/27/2022,12/1/2022,30138,53627.0,52613.0,DSF0000961453
31,R058,P.S. 58 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,Complete,5/8/2023,4/1/2024,4/1/2024,442023,393340.0,316287.0,DSF0000961453
31,R058,P.S. 58 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,"CM,F&E",Complete,5/8/2023,4/1/2024,4/1/2024,30138,38936.0,31489.0,DSF0000961453
31,R058,P.S. 58 - STATEN ISLAND,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.0,0.0,DSF0001036142
31,R058,P.S. 58 - STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/23/2024,DIIR,6/18/2024,DIIR,50000.0,50000.0,DSF0001086649
31,R058,P.S. 58 - STATEN ISLAND,DOE - RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,In-Progress,8/25/2014,DOER,,DOER,80295.0,0.0,DSF0000798835
31,R058,P.S. 58 - STATEN ISLAND,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,12/13/2023,DOES,,DOES,50832.0,0.0,DSF0001084458
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY22 RESO A (MA) PLAYGROUND UPGRADE,Scope,Complete,7/14/2022,10/13/2022,1/3/2023,0,9835.0,9835.0,DSF0001032980
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY22 RESO A (MA) PLAYGROUND UPGRADE,Design,Complete,1/11/2023,5/26/2023,5/11/2023,20200,35767.0,31752.0,DSF0001032980
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY22 RESO A (MA) PLAYGROUND UPGRADE,Construction,In-Progress,12/8/2023,11/1/2024,,296272,285001.0,53148.0,DSF0001032980
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY22 RESO A (MA) PLAYGROUND UPGRADE,"CM,F&E",In-Progress,12/8/2023,11/1/2024,,20200,30425.0,12667.0,DSF0001032980
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY23 RESO A IPDVS UPGRADE,Scope,Complete,11/20/2023,1/22/2024,11/30/2023,0,3704.0,3704.0,DSF0001035351
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY23 RESO A IPDVS UPGRADE,Design,Complete,11/30/2023,5/28/2024,1/31/2024,27000,14817.0,14817.0,DSF0001035351
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY23 RESO A IPDVS UPGRADE,Construction,PNS,PNS,PNS,PNS,396000,396000.0,910.0,DSF0001035351
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY23 RESO A IPDVS UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,31264,27000.0,3417.0,DSF0001035351
31,R059,THE HARBOR VIEW SCHOOL - R,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/16/2023,DOER,,DOER,139271.0,0.0,DSF0000913143
31,R059,THE HARBOR VIEW SCHOOL - R,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,350000.0,0.0,DSF0001086650
31,R060,P.S. 60 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,6/2/2021,1/20/2022,1/20/2022,0,25752.0,19735.0,"DSF0000961455, DSF0001007749"
31,R060,P.S. 60 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,Complete,1/20/2022,4/22/2022,3/28/2022,37221,43452.0,33435.0,"DSF0000961455, DSF0001007749"
31,R060,P.S. 60 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,In-Progress,7/5/2022,5/30/2023,,545908,520211.0,462862.0,"DSF0000961455, DSF0001007749"
31,R060,P.S. 60 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,7/5/2022,5/30/2023,,37221,65866.0,64870.0,"DSF0000961455, DSF0001007749"
31,R060,P.S. 60 - STATEN ISLAND,SCA IEH,PO18-ACM TESTING ON SCHOOL SIGN IN FRONT OF THE SCHOOL,Construction,In-Progress,1/5/2024,IEH,,IEH,3935.0,1235.0,SCA0000072614
31,R060,P.S. 60 - STATEN ISLAND,SCA IEH,PO18-ABATEMENT OF FLOOR TILES AND CHALKBOARD MASTIC IN ROOMS 210 AND 106,Construction,Complete,5/31/2024,IEH,6/8/2024,IEH,63792.0,3172.0,SCA0000073044
31,R060,P.S. 60 - STATEN ISLAND,Fast Track Projects,LSP REPLACE UNIVENTS,Construction,In-Progress,1/12/2023,FTK,,FTK,443115.0,52502.0,DSF0000960692
31,R060,P.S. 60 - STATEN ISLAND,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,1/10/2022,IPDV,2/1/2023,DIIS,50000.0,38970.0,DSF0001034849
31,R060,P.S. 60 - STATEN ISLAND,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,6/7/2023,DIIR,9/15/2023,DIIR,75000.0,75000.0,DSF0001036143
31,R060,P.S. 60 - STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.0,0.0,DSF0001086653
31,R060,P.S. 60 - STATEN ISLAND,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.0,0.0,DSF0001086652
31,R060,P.S. 60 - STATEN ISLAND,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/9/2024,DOES,4/17/2024,DOES,65832.0,9237.0,DSF0001084459
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/29/2023,10/30/2023,10/3/2023,10890,15752.0,15752.0,DSF0001083807
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/11/2023,3/12/2024,2/13/2024,49007,44471.0,6988.0,DSF0001083807
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,PNS,PNS,PNS,PNS,631648,631648.0,8149.0,DSF0001083807
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",PNS,PNS,PNS,PNS,117073,117073.0,17814.0,DSF0001083807
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/29/2021,11/30/2021,8/18/2021,4477,6223.0,6223.0,DSF0000960782
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,8/18/2021,2/16/2022,12/29/2021,20148,24890.0,24890.0,DSF0000960782
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/12/2022,3/7/2023,,259685,236074.0,209120.0,DSF0000960782
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/12/2022,3/7/2023,,194121,193339.0,193179.0,DSF0000960782
31,R061,I.S. 61 - STATEN ISLAND,SCA IEH,PO18-ABATE AND REPLACE FLOOR TILES IN 1ST FL HALLWAY,Construction,Complete,12/6/2023,IEH,1/20/2024,IEH,17011.0,17011.0,SCA0000072535
31,R061,I.S. 61 - STATEN ISLAND,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,In-Progress,6/30/2021,DIIR,,DIIR,100000.0,0.0,DSF0000866588
31,R061,I.S. 61 - STATEN ISLAND,DOE - RESOA,FY23 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,7/15/2022,DOER,,DOER,564532.0,0.0,DSF0001035352
31,R061,I.S. 61 - STATEN ISLAND,DOE - RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,12/4/2023,DOER,,DOER,900000.0,61379.0,DSF0001086654
31,R062,THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTAINABILITY,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,148000,148000.0,148000.0,DSF0001086656
31,R062,THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTAINABILITY,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,8/15/2022,IPDV,9/15/2022,DIIS,50000.0,36628.0,DSF0001034850
31,R062,THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTAINABILITY,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/21/2024,DIIR,5/14/2024,DIIR,50000.0,50000.0,DSF0001086655
31,R062,THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTAINABILITY,DOE - RESOA,FY20 RESO A ROOM CONVERSION,Construction,In-Progress,1/27/2020,DOER,,DOER,145255.0,0.0,DSF0000913144
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,9/1/2022,IPDV,10/11/2022,DIIS,50000.0,36490.0,DSF0001034851
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,250000.0,0.0,DSF0000961457
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.0,0.0,DSF0001008354
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.0,0.0,DSF0001033340
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,1/23/2024,DIIR,4/3/2024,DIIR,90000.0,90000.0,DSF0001036147
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.0,0.0,DSF0000913145
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DOE - RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,200000.0,0.0,DSF0001036146
31,R066,THE PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,2/20/2024,DOES,3/5/2024,DOES,65832.0,189.0,DSF0001085543
31,R068,THE RICHMOND PRE-K CENTER,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,2/27/2024,DOES,,DOES,50832.0,0.0,DSF0001085544
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION,Scope,Complete,2/16/2023,7/5/2023,11/15/2023,31000,164955.0,161609.0,DSF0001078345
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION,Design,Complete,12/5/2023,5/7/2024,4/17/2024,155000,229608.0,7485.0,DSF0001078345
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,3487500,3487500.0,87960.0,DSF0001078345
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,217000,217000.0,42550.0,DSF0001078345
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A PA SYSTEM UPGRADE,Scope,Complete,1/3/2024,4/3/2024,3/20/2024,0,1496.0,1496.0,DSF0001086657
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A PA SYSTEM UPGRADE,Design,In-Progress,5/9/2024,10/10/2024,,30000,28504.0,5984.0,DSF0001086657
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A PA SYSTEM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000.0,989.0,DSF0001086657
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A PA SYSTEM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,30000,30000.0,5240.0,DSF0001086657
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,142.0,142.0,DSF0001086658
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,30000,29858.0,568.0,DSF0001086658
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000.0,0.0,DSF0001086658
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,30000,30000.0,0.0,DSF0001086658
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001087109
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001087109
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001087109
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001087109
31,R069,P.S. 69 - STATEN ISLAND,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,12/21/2022,IPDV,3/21/2023,DIIS,50000.0,38061.0,DSF0001034853
31,R069,P.S. 69 - STATEN ISLAND,DIIT - RESOA,FY14 RESO A IP SURVEILLANCE CAMERA,Purch & Install,PNS,PNS,PNS,PNS,DIIR,370579.0,0.0,DSF0000799347
31,R069,P.S. 69 - STATEN ISLAND,DIIT - RESOA,FY20 RESO A TECHNOLOGY,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.0,0.0,DSF0000960711
31,R069,P.S. 69 - STATEN ISLAND,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.0,0.0,DSF0001008371
31,R069,P.S. 69 - STATEN ISLAND,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.0,0.0,DSF0001008406
31,R069,P.S. 69 - STATEN ISLAND,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/25/2024,DOES,5/3/2024,DOES,65832.0,10470.0,DSF0001084461
31,R070,THE YOUNG WOMEN�S LEADERSHIP SCHOOL OF STATEN ISLAND,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/21/2024,DIIR,5/20/2024,DIIR,65000.0,65000.0,DSF0001036149
31,R070,THE YOUNG WOMEN�S LEADERSHIP SCHOOL OF STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/27/2024,DIIR,,DIIR,70000.0,70000.0,DSF0001086659
31,R070,THE WAVERLY ACADEMY OF EMPOWERED LEARNERS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,250000.0,0.0,DSF0001086660
31,R071,P.S. 48 - STATEN ISLAND,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/21/2024,DIIR,3/25/2024,DIIR,75000.0,149991.0,DSF0001036150
31,R071,P.S. 48 - STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,155000.0,0.0,DSF0001086661
31,R071,P.S. 48 - STATEN ISLAND,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.0,0.0,DSF0001035263
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,10/9/2018,3/14/2019,12/21/2018,119640,118343.0,118343.0,"DSF0000890598, DSF0000877738"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,1/9/2019,6/11/2019,5/7/2019,478560,520983.0,487209.0,"DSF0000890598, DSF0000877738"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/22/2019,7/20/2021,,8973000,9555108.0,8470682.0,"DSF0000890598, DSF0000877738"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/22/2019,7/20/2021,,558320,1557433.0,1523427.0,"DSF0000890598, DSF0000877738"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT,Scope,Complete,2/13/2019,7/15/2019,2/12/2020,92360,109933.0,109933.0,"DSF0000911803, DSF0001000610"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT,Design,Complete,9/9/2021,2/14/2022,4/15/2022,461800,329140.0,293566.0,"DSF0000911803, DSF0001000610"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT,Construction,In-Progress,8/8/2022,8/6/2024,,10390500,9404173.0,3757437.0,"DSF0000911803, DSF0001000610"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT,"CM,F&E",In-Progress,8/8/2022,8/6/2024,,646520,588850.0,588850.0,"DSF0000911803, DSF0001000610"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS,Scope,Complete,1/28/2022,9/23/2022,1/20/2023,167032,246032.0,237674.0,"DSF0001083778, DSF0001086897, DSF0001083779, DSF0001078375, DSF0001078373"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS,Design,Complete,1/31/2023,7/3/2023,9/20/2023,832001,553335.0,500531.0,"DSF0001083778, DSF0001086897, DSF0001083779, DSF0001078375, DSF0001078373"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS,Construction,PNS,PNS,PNS,PNS,18446445,19906415.0,1616764.0,"DSF0001083778, DSF0001086897, DSF0001083779, DSF0001078375, DSF0001078373"
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,1192949,1192949.0,263435.0,"DSF0001083778, DSF0001086897, DSF0001083779, DSF0001078375, DSF0001078373"
